brand,model_type,transmission,fuel_type,owner_type,year,engine_cc,mileage_km,tax_annual,price_usd
Honda,Coupe,Automatic,Hybrid,First,2011,1361,190820,51.68,2583.90
BMW,MPV,Manual,Petrol,First,2008,3646,217192,60.69,3034.56
Honda,Coupe,Automatic,Diesel,First,2014,1657,150282,40.50,2025.25
BMW,Hatchback,Manual,Petrol,First,2013,3713,216240,27.86,1393.06
VW,Sedan,Manual,Petrol,Second,2012,2450,205478,32.90,1645.22
Daihatsu,MPV,Automatic,Diesel,Second,2019,1658,98016,118.56,5928.16
Daihatsu,Hatchback,Automatic,Hybrid,First,2022,1897,51726,309.30,15464.77
Toyota,MPV,Automatic,Diesel,First,2018,1621,138110,95.42,4770.81
Audi,SUV,Manual,Hybrid,Second,2014,2290,110935,306.33,15316.46
Mercedes,MPV,Manual,Petrol,Third,2021,2751,50436,528.88,26444.15
Mercedes,Sedan,Automatic,Hybrid,Third,2017,3236,106704,289.79,14489.32
Ferrari,Hatchback,Manual,Diesel,Second,2014,6139,216183,1206.66,60332.82
Audi,Coupe,Automatic,Hybrid,Second,2019,2115,62094,662.56,33128.09
Mercedes,SUV,Automatic,Petrol,Second,2019,3003,114702,456.34,22816.77
BMW,Hatchback,Manual,Hybrid,First,2023,3216,26642,997.55,49877.49
Honda,MPV,Manual,Diesel,Third,2010,2259,198840,40.34,2017.22
Porsche,MPV,Manual,Hybrid,Second,2007,1054,240210,65.60,3280.18
Suzuki,Hatchback,Automatic,Diesel,First,2005,1710,372320,29.31,1465.36
Ferrari,Hatchback,Manual,Diesel,First,2009,4281,165824,681.09,34054.61
Porsche,Coupe,Automatic,Diesel,First,2018,1777,80976,1079.70,53985.02
Suzuki,SUV,Automatic,Hybrid,Second,2005,2449,294660,57.43,2871.51
Suzuki,Coupe,Manual,Petrol,Third,2008,1467,173196,57.23,2861.25
Suzuki,Sedan,Automatic,Diesel,Second,2006,2278,336547,57.50,2875.09
Toyota,SUV,Manual,Petrol,Second,2009,2294,306432,63.27,3163.54
Daihatsu,Hatchback,Manual,Petrol,Second,2018,1979,127155,81.38,4069.20
VW,Coupe,Automatic,Hybrid,Third,2022,2295,33552,508.59,25429.56
Mazda,Coupe,Automatic,Petrol,Third,2006,1553,267102,66.13,3306.45
Suzuki,MPV,Automatic,Hybrid,First,2016,1982,177471,44.94,2246.90
Audi,MPV,Automatic,Diesel,Second,2017,2477,130768,356.98,17849.21
Honda,MPV,Automatic,Diesel,Second,2018,1423,87857,125.45,6272.33
BMW,MPV,Automatic,Hybrid,Second,2005,3615,233160,32.47,1623.29
Mazda,SUV,Manual,Petrol,First,2019,1169,85158,198.58,9929.19
Porsche,Sedan,Automatic,Hybrid,Second,2023,2369,30276,1447.56,72378.04
Daihatsu,Hatchback,Automatic,Diesel,First,2014,1688,167299,48.85,2442.52
VW,SUV,Manual,Petrol,Second,2020,1495,84800,238.86,11943.18
Toyota,MPV,Manual,Diesel,First,2021,1776,78092,214.36,10717.99
Mercedes,SUV,Automatic,Petrol,Second,2006,2702,348517,54.32,2716.19
Mazda,SUV,Automatic,Hybrid,Third,2008,1808,251158,62.30,3114.83
Daihatsu,MPV,Automatic,Diesel,First,2006,1183,241395,49.81,2490.50
Toyota,Sedan,Manual,Hybrid,Second,2006,2040,298224,38.62,1930.90
BMW,SUV,Manual,Diesel,First,2007,3892,333018,47.34,2366.81
Suzuki,Hatchback,Manual,Hybrid,First,2019,2279,67296,266.27,13313.46
VW,SUV,Manual,Petrol,Second,2022,1845,50751,411.17,20558.64
Mercedes,Sedan,Manual,Diesel,Third,2021,2500,51652,473.83,23691.39
Suzuki,Hatchback,Automatic,Diesel,First,2024,1311,14909,281.24,14061.80
Mercedes,SUV,Automatic,Diesel,Second,2021,3854,68460,782.74,39136.98
Porsche,SUV,Automatic,Diesel,Second,2008,1764,271252,118.25,5912.33
Ferrari,Sedan,Automatic,Petrol,Third,2018,4599,131082,1665.78,83289.23
Suzuki,Hatchback,Manual,Hybrid,First,2010,1203,172635,43.86,2193.11
Audi,Coupe,Automatic,Hybrid,Third,2006,2487,221464,33.73,1686.34
Suzuki,Sedan,Automatic,Hybrid,Second,2018,1338,85372,130.72,6535.85
Suzuki,Coupe,Automatic,Hybrid,Third,2005,1107,368900,67.92,3395.92
Audi,SUV,Automatic,Hybrid,Third,2012,1216,163189,146.68,7334.00
Suzuki,Sedan,Automatic,Petrol,Third,2012,1615,168155,62.10,3104.81
Mazda,Coupe,Automatic,Hybrid,Third,2015,1741,122330,135.44,6772.18
Suzuki,Hatchback,Manual,Hybrid,First,2021,2409,65056,334.52,16725.92
Audi,Hatchback,Automatic,Hybrid,Second,2006,2217,247190,40.48,2024.09
BMW,Hatchback,Automatic,Petrol,Second,2013,3835,174048,49.36,2467.86
Mercedes,Sedan,Manual,Diesel,Third,2011,2235,148960,48.03,2401.63
BMW,Sedan,Automatic,Diesel,First,2017,3739,141240,284.51,14225.27
VW,SUV,Automatic,Diesel,First,2012,1781,168155,67.98,3399.14
BMW,Coupe,Manual,Diesel,Second,2017,2100,142472,210.74,10536.75
Toyota,Hatchback,Automatic,Diesel,Second,2007,1994,335466,49.77,2488.30
Honda,MPV,Manual,Petrol,Third,2017,1922,156536,38.23,1911.58
Honda,MPV,Manual,Petrol,First,2022,1998,57981,338.75,16937.33
Toyota,Sedan,Automatic,Hybrid,Second,2012,1616,143832,48.72,2436.22
Daihatsu,SUV,Manual,Petrol,Second,2024,1818,13197,378.29,18914.32
BMW,SUV,Automatic,Diesel,Second,2011,2985,186214,37.22,1861.00
Honda,Hatchback,Manual,Diesel,First,2022,1096,44094,219.12,10955.81
Mercedes,Hatchback,Automatic,Hybrid,Second,2010,3545,243810,35.95,1797.49
Mazda,Sedan,Manual,Hybrid,Third,2012,1814,152867,53.71,2685.46
Mazda,Sedan,Manual,Hybrid,Second,2020,2226,50535,340.89,17044.74
Porsche,Hatchback,Automatic,Petrol,Second,2014,1195,117348,417.35,20867.39
Porsche,MPV,Automatic,Diesel,Second,2006,2305,306622,72.62,3631.01
Toyota,MPV,Automatic,Diesel,First,2020,1962,60545,259.89,12994.69
Audi,MPV,Manual,Petrol,Third,2008,1505,178092,22.48,1124.22
BMW,Sedan,Automatic,Hybrid,First,2016,2770,147735,186.07,9303.49
VW,Sedan,Manual,Diesel,Third,2007,1005,202230,46.92,2345.89
BMW,SUV,Manual,Petrol,Third,2023,3368,38662,895.93,44796.70
VW,Coupe,Automatic,Diesel,Third,2005,1434,232040,36.45,1822.48
Daihatsu,SUV,Manual,Petrol,Second,2023,1239,26212,218.64,10932.10
Audi,Sedan,Manual,Diesel,Third,2016,2123,125478,225.33,11266.61
Mercedes,MPV,Automatic,Hybrid,Third,2022,3073,51861,701.38,35068.93
Porsche,SUV,Manual,Hybrid,Second,2022,2055,36117,1498.75,74937.71
BMW,Sedan,Automatic,Hybrid,Third,2008,3012,267172,37.20,1859.90
Porsche,Hatchback,Manual,Petrol,First,2020,2144,95535,1057.86,52892.86
Mercedes,SUV,Automatic,Hybrid,Third,2008,2792,208675,48.14,2406.81
Audi,Coupe,Automatic,Hybrid,Second,2010,1756,230805,94.28,4714.17
Mercedes,SUV,Automatic,Petrol,Second,2022,2901,34803,872.76,43638.17
BMW,MPV,Automatic,Diesel,First,2021,3341,66384,658.67,32933.41
Mazda,Hatchback,Automatic,Petrol,First,2016,1921,153315,104.28,5213.79
Suzuki,Coupe,Automatic,Petrol,Third,2009,1626,198528,63.39,3169.47
Daihatsu,Coupe,Manual,Petrol,Third,2023,2342,31058,380.22,19010.95
Toyota,Hatchback,Automatic,Petrol,First,2008,1039,209780,48.35,2417.61
Daihatsu,Sedan,Automatic,Diesel,Second,2012,1097,158496,71.60,3580.03
Ferrari,Sedan,Manual,Hybrid,Second,2016,4938,104760,1564.63,78231.33
Ferrari,Sedan,Automatic,Hybrid,Second,2023,4569,31312,3400.73,170036.54
VW,MPV,Automatic,Petrol,Second,2017,2494,113656,183.47,9173.49
Toyota,Hatchback,Manual,Petrol,Second,2024,1657,16171,330.08,16503.99
Ferrari,SUV,Automatic,Hybrid,Second,2019,5148,81270,2614.98,130749.22
Suzuki,MPV,Automatic,Hybrid,First,2016,2253,172215,79.08,3953.77
Toyota,Coupe,Automatic,Hybrid,Second,2008,1298,267512,76.78,3839.17
Audi,SUV,Automatic,Petrol,First,2007,1982,357588,50.04,2501.93
Porsche,Sedan,Automatic,Hybrid,Second,2008,2032,204493,166.13,8306.64
Daihatsu,SUV,Manual,Diesel,First,2017,2308,135912,94.83,4741.61
Mazda,Hatchback,Automatic,Petrol,First,2014,1379,192995,52.16,2607.76
Mercedes,SUV,Manual,Hybrid,First,2008,3779,314466,50.15,2507.28
Suzuki,Hatchback,Automatic,Hybrid,First,2022,1325,35490,244.40,12220.22
Ferrari,Coupe,Manual,Hybrid,Third,2023,5361,28262,3865.08,193253.81
Ferrari,Hatchback,Automatic,Hybrid,Third,2005,5922,262160,299.75,14987.62
Daihatsu,SUV,Automatic,Diesel,Third,2021,1475,68588,191.74,9587.08
Daihatsu,Hatchback,Automatic,Petrol,First,2016,1685,134127,53.14,2656.99
Mazda,MPV,Manual,Petrol,Second,2015,2268,153510,55.36,2768.18
Mercedes,Hatchback,Automatic,Diesel,First,2022,2490,46632,766.58,38329.13
Mazda,SUV,Manual,Hybrid,Second,2011,1628,204834,48.93,2446.38
Daihatsu,MPV,Automatic,Diesel,First,2024,1161,14856,241.27,12063.74
Audi,Hatchback,Automatic,Petrol,First,2012,1932,134680,138.98,6948.93
Audi,SUV,Manual,Diesel,First,2012,1964,207987,114.11,5705.44
Daihatsu,MPV,Manual,Diesel,Second,2012,1482,259090,39.15,1957.32
Suzuki,MPV,Automatic,Diesel,First,2023,1354,22908,258.22,12910.77
BMW,MPV,Manual,Petrol,First,2009,3212,278464,46.34,2316.76
BMW,SUV,Manual,Petrol,First,2013,3171,159456,38.89,1944.37
Mercedes,Sedan,Manual,Petrol,Third,2009,3721,230512,35.11,1755.56
Mercedes,SUV,Automatic,Petrol,Second,2014,3957,159555,146.11,7305.31
BMW,Hatchback,Automatic,Hybrid,Third,2021,2489,74092,492.84,24641.77
Honda,MPV,Automatic,Petrol,Second,2019,2242,108366,174.24,8711.86
Suzuki,Sedan,Manual,Petrol,First,2012,1936,162864,33.80,1689.83
BMW,Hatchback,Automatic,Diesel,First,2013,2749,207612,55.21,2760.26
Honda,Sedan,Automatic,Diesel,First,2017,1245,108096,51.48,2574.11
Mercedes,SUV,Manual,Diesel,Third,2008,3540,173213,36.50,1825.21
Mercedes,Sedan,Automatic,Diesel,First,2024,2957,17536,1181.76,59088.01
Mazda,Hatchback,Manual,Petrol,First,2022,1743,40356,341.92,17096.13
BMW,SUV,Automatic,Petrol,First,2017,3521,117048,342.88,17143.97
Suzuki,MPV,Automatic,Hybrid,Second,2017,1635,81296,133.26,6662.94
Porsche,Sedan,Automatic,Diesel,Third,2024,1828,15883,1354.36,67718.04
BMW,Coupe,Automatic,Hybrid,Second,2011,3891,171388,45.38,2268.98
Suzuki,Hatchback,Manual,Petrol,First,2008,1900,244766,65.79,3289.31
Toyota,SUV,Manual,Diesel,Second,2010,1247,151260,30.45,1522.74
Suzuki,SUV,Automatic,Hybrid,Third,2019,2445,77208,247.67,12383.26
Ferrari,Hatchback,Automatic,Hybrid,First,2009,5324,233120,718.90,35944.88
Porsche,Sedan,Manual,Petrol,Second,2023,1605,26078,1314.70,65734.77
Honda,Hatchback,Manual,Diesel,Second,2021,1879,40260,238.99,11949.51
Toyota,Sedan,Manual,Hybrid,Third,2010,1050,243780,36.99,1849.35
Audi,SUV,Manual,Petrol,Second,2012,1424,193557,93.31,4665.46
Daihatsu,SUV,Automatic,Petrol,First,2022,2007,40131,365.73,18286.36
Daihatsu,SUV,Automatic,Diesel,First,2013,1416,174396,35.16,1757.92
Porsche,Hatchback,Manual,Petrol,Third,2024,1849,18560,1323.52,66176.09
Toyota,Hatchback,Manual,Diesel,Third,2018,1646,70434,99.67,4983.49
Daihatsu,Hatchback,Automatic,Diesel,Second,2018,1598,138040,41.18,2058.93
Suzuki,Coupe,Automatic,Hybrid,Second,2018,1521,98588,181.82,9091.08
Daihatsu,SUV,Automatic,Hybrid,First,2010,1488,234900,61.37,3068.59
BMW,MPV,Manual,Hybrid,First,2015,3882,154990,195.62,9781.20
Suzuki,Sedan,Manual,Diesel,First,2018,1026,84707,36.16,1808.17
Suzuki,MPV,Automatic,Hybrid,Third,2016,2008,169299,75.50,3775.04
Honda,Hatchback,Manual,Petrol,Second,2017,2397,105240,150.66,7532.77
BMW,MPV,Manual,Petrol,Second,2008,2078,284410,56.36,2818.07
Toyota,Coupe,Automatic,Hybrid,Second,2015,2420,125620,153.49,7674.74
Suzuki,Sedan,Automatic,Petrol,Third,2017,2114,136744,54.65,2732.67
BMW,SUV,Automatic,Hybrid,Third,2006,3704,199101,51.26,2563.00
Mercedes,SUV,Automatic,Hybrid,Third,2005,2732,393380,70.01,3500.50
BMW,Hatchback,Manual,Diesel,Third,2019,2313,117738,265.85,13292.51
Daihatsu,SUV,Manual,Hybrid,Second,2014,2117,219054,43.01,2150.74
Ferrari,Sedan,Manual,Hybrid,Second,2017,4102,114504,1669.34,83466.97
Honda,Sedan,Automatic,Hybrid,First,2013,1027,177384,63.23,3161.74
Suzuki,MPV,Automatic,Petrol,Third,2012,1688,214799,34.65,1732.55
Mazda,SUV,Manual,Petrol,First,2015,1523,123830,94.78,4739.00
Suzuki,Sedan,Manual,Hybrid,First,2017,1136,101256,46.35,2317.33
Porsche,Hatchback,Automatic,Hybrid,Second,2017,1362,132040,607.35,30367.43
BMW,Coupe,Automatic,Petrol,First,2009,2275,312368,73.94,3696.76
Audi,Sedan,Automatic,Hybrid,Second,2012,2481,169026,181.61,9080.60
Audi,SUV,Manual,Hybrid,First,2021,1665,47932,752.00,37600.18
Mazda,Hatchback,Automatic,Diesel,Second,2012,1628,245856,47.15,2357.41
Mercedes,MPV,Manual,Petrol,Second,2009,2468,250240,56.17,2808.36
Toyota,MPV,Automatic,Hybrid,Third,2019,2489,117492,195.49,9774.65
Mercedes,MPV,Manual,Diesel,First,2010,2323,257310,70.52,3525.87
Audi,MPV,Manual,Hybrid,Second,2012,2380,220272,85.24,4262.14
Mercedes,Hatchback,Manual,Hybrid,Second,2005,2592,277160,54.62,2731.17
Daihatsu,MPV,Manual,Diesel,Second,2007,1380,303822,59.01,2950.42
Daihatsu,Sedan,Manual,Petrol,Second,2017,1191,135184,42.93,2146.45
Mazda,SUV,Automatic,Petrol,First,2014,1776,155287,43.87,2193.60
Toyota,Hatchback,Automatic,Diesel,Second,2018,1490,115157,96.89,4844.43
VW,Sedan,Manual,Diesel,Second,2020,1055,95695,128.69,6434.46
Suzuki,MPV,Automatic,Diesel,Second,2005,1230,383420,45.79,2289.72
Suzuki,Coupe,Automatic,Hybrid,Second,2024,1802,18271,460.36,23017.84
Daihatsu,SUV,Manual,Hybrid,Second,2006,1936,281542,46.23,2311.30
BMW,Hatchback,Automatic,Diesel,First,2018,3430,116284,354.42,17720.98
Mercedes,Hatchback,Manual,Petrol,First,2006,2000,365731,78.41,3920.67
Toyota,Sedan,Manual,Petrol,Second,2016,2167,120924,64.87,3243.69
Daihatsu,Coupe,Manual,Diesel,Second,2022,1120,36603,226.44,11322.21
Suzuki,SUV,Manual,Diesel,First,2010,1823,278580,58.46,2922.96
VW,SUV,Automatic,Petrol,Second,2023,1851,26664,497.42,24870.85
BMW,Hatchback,Manual,Petrol,Second,2020,3875,51175,529.30,26464.94
Daihatsu,Hatchback,Manual,Diesel,Third,2017,2231,153664,51.00,2550.16
Toyota,Hatchback,Automatic,Hybrid,First,2024,2300,17784,548.32,27416.25
Suzuki,Hatchback,Manual,Hybrid,First,2020,1405,85650,137.00,6849.99
Suzuki,Coupe,Manual,Diesel,Third,2012,2102,198692,70.30,3515.12
Suzuki,SUV,Automatic,Hybrid,First,2022,2197,39795,417.30,20864.88
Audi,MPV,Manual,Petrol,First,2021,1335,66664,545.66,27283.23
Honda,Coupe,Manual,Hybrid,Third,2013,1486,139092,30.81,1540.65
Daihatsu,SUV,Automatic,Hybrid,Second,2012,2057,159510,21.90,1095.11
Daihatsu,SUV,Manual,Petrol,Second,2022,1295,46644,186.20,9310.10
Suzuki,MPV,Manual,Petrol,First,2021,1614,53220,202.24,10112.19
BMW,Hatchback,Automatic,Hybrid,Third,2020,2902,63785,465.29,23264.44
Suzuki,Coupe,Automatic,Petrol,Third,2017,1163,88704,101.45,5072.33
Suzuki,Coupe,Manual,Hybrid,First,2022,1772,41901,393.12,19655.84
Daihatsu,MPV,Manual,Diesel,Third,2012,1855,250458,31.18,1558.81
Audi,Hatchback,Manual,Petrol,Second,2018,2361,92750,416.71,20835.33
Porsche,Sedan,Manual,Diesel,Third,2011,1090,203322,158.13,7906.58
Daihatsu,Coupe,Automatic,Diesel,Second,2012,1114,201799,35.12,1755.77
Toyota,Coupe,Automatic,Petrol,Third,2017,1403,129024,90.00,4500.21
Audi,SUV,Manual,Hybrid,Second,2017,1822,115648,419.99,20999.59
Daihatsu,Coupe,Automatic,Petrol,First,2019,2004,119616,204.49,10224.44
Daihatsu,Coupe,Manual,Hybrid,Third,2015,1395,102750,80.31,4015.44
Toyota,MPV,Manual,Petrol,Second,2012,1561,253578,51.72,2586.21
BMW,Sedan,Manual,Hybrid,First,2018,2316,95613,308.01,15400.39
Ferrari,MPV,Automatic,Hybrid,Second,2013,5108,198216,1072.81,53640.39
BMW,MPV,Automatic,Diesel,First,2024,3345,12627,1189.87,59493.62
Porsche,SUV,Automatic,Hybrid,First,2010,1607,255195,250.37,12518.59
Daihatsu,MPV,Automatic,Diesel,Third,2009,1717,209760,34.44,1721.98
Daihatsu,Hatchback,Manual,Petrol,First,2022,2463,48924,353.21,17660.54
BMW,Coupe,Automatic,Hybrid,First,2009,3192,266592,50.05,2502.67
Porsche,Hatchback,Manual,Hybrid,Second,2024,1295,11752,1446.89,72344.73
BMW,SUV,Automatic,Petrol,Second,2021,3268,59120,677.60,33879.97
Audi,SUV,Manual,Hybrid,First,2023,2060,27416,1022.31,51115.34
Mazda,SUV,Automatic,Hybrid,Third,2024,1695,12082,470.98,23549.03
Toyota,MPV,Manual,Petrol,Second,2015,2234,164380,58.43,2921.44
BMW,Coupe,Automatic,Hybrid,Third,2006,3760,248368,70.70,3534.96
Suzuki,MPV,Manual,Diesel,First,2006,1069,317395,71.52,3575.88
Suzuki,SUV,Manual,Diesel,Third,2019,2384,72348,200.54,10026.81
Mazda,MPV,Automatic,Hybrid,First,2005,1779,200980,67.12,3355.99
Toyota,Hatchback,Automatic,Petrol,First,2014,1768,192830,53.61,2680.60
Toyota,SUV,Manual,Diesel,Second,2020,2361,50495,281.35,14067.31
VW,MPV,Manual,Diesel,Second,2006,1209,248026,43.18,2159.07
Audi,SUV,Manual,Diesel,Second,2023,1080,34994,738.77,36938.32
Mercedes,Coupe,Manual,Hybrid,Second,2019,2148,87888,496.17,24808.61
Suzuki,Coupe,Manual,Diesel,First,2011,1730,246330,43.66,2182.77
BMW,Sedan,Automatic,Diesel,Second,2005,2855,207540,57.74,2886.98
BMW,Coupe,Manual,Petrol,Third,2020,3211,70325,523.50,26174.82
Audi,Hatchback,Automatic,Hybrid,Second,2017,1225,116368,293.06,14653.14
Daihatsu,Hatchback,Manual,Diesel,Second,2024,2136,16046,361.88,18093.80
Suzuki,Hatchback,Automatic,Hybrid,First,2012,1029,223431,41.80,2089.80
Audi,MPV,Automatic,Hybrid,Second,2009,1192,282256,52.81,2640.72
Ferrari,Hatchback,Automatic,Petrol,Third,2023,6385,36636,3208.22,160410.91
VW,Coupe,Manual,Petrol,Second,2022,2103,48204,476.69,23834.56
Suzuki,MPV,Automatic,Diesel,Second,2017,2211,144616,88.26,4413.02
Suzuki,Coupe,Manual,Petrol,First,2013,2431,122592,66.04,3301.76
Toyota,Coupe,Manual,Diesel,Third,2023,2253,24160,411.46,20573.18
Ferrari,Hatchback,Manual,Petrol,Third,2011,4051,270494,590.04,29501.86
Mercedes,Coupe,Manual,Hybrid,Second,2014,2822,184239,125.45,6272.28
Mercedes,Coupe,Manual,Diesel,Third,2019,2329,84708,404.14,20207.17
BMW,SUV,Manual,Petrol,Third,2019,3943,114456,425.01,21250.41
Mercedes,Sedan,Automatic,Petrol,Third,2011,2678,223524,60.15,3007.46
Mercedes,Sedan,Automatic,Diesel,Second,2024,3457,19223,1107.18,55358.79
BMW,Sedan,Automatic,Diesel,Second,2024,3778,15848,1137.16,56857.99
Mercedes,MPV,Manual,Petrol,Third,2009,3598,227088,52.94,2647.02
Audi,MPV,Manual,Petrol,Third,2018,1533,77910,323.63,16181.53
BMW,SUV,Automatic,Petrol,First,2012,3109,225368,48.55,2427.26
Daihatsu,MPV,Automatic,Hybrid,Third,2009,2212,168768,26.59,1329.70
Audi,MPV,Manual,Hybrid,Second,2015,1014,195630,138.76,6938.07
Toyota,SUV,Automatic,Hybrid,Second,2021,1248,45852,274.01,13700.59
VW,Sedan,Automatic,Hybrid,First,2006,1993,329593,40.61,2030.25
Audi,Coupe,Manual,Diesel,Second,2008,2392,244885,48.26,2412.89
Toyota,Coupe,Automatic,Petrol,Second,2021,1136,48124,222.46,11123.08
VW,MPV,Manual,Petrol,First,2007,1646,273222,44.05,2202.46
Audi,Hatchback,Automatic,Hybrid,First,2019,2137,106122,540.78,27038.85
Toyota,Hatchback,Automatic,Petrol,First,2024,2145,10376,495.78,24789.18
Toyota,Sedan,Manual,Hybrid,First,2023,2436,22156,512.68,25633.95
Daihatsu,Coupe,Automatic,Diesel,Third,2020,2139,99680,200.76,10037.97
Mercedes,Coupe,Manual,Diesel,Second,2009,2196,307472,67.54,3376.97
Porsche,MPV,Automatic,Diesel,First,2018,1199,136402,701.64,35081.91
Mercedes,Hatchback,Automatic,Diesel,Second,2021,2083,75812,493.93,24696.27
Audi,MPV,Manual,Petrol,Second,2021,1390,47424,525.78,26288.87
Ferrari,Hatchback,Automatic,Hybrid,First,2019,6333,66924,2623.80,131190.03
Mazda,Coupe,Manual,Hybrid,Second,2023,2103,32176,555.50,27775.04
Porsche,Coupe,Manual,Diesel,Second,2017,2376,132144,852.40,42619.77
Daihatsu,SUV,Automatic,Diesel,Third,2018,2218,121968,142.32,7116.13
BMW,SUV,Automatic,Diesel,Third,2012,3801,160771,42.70,2134.94
Daihatsu,Hatchback,Automatic,Hybrid,First,2021,1361,52880,209.13,10456.51
Suzuki,MPV,Manual,Diesel,Third,2022,1947,35523,234.74,11736.93
BMW,Hatchback,Automatic,Hybrid,Third,2005,3247,373780,60.19,3009.33
Audi,MPV,Automatic,Petrol,Second,2012,1784,136461,125.70,6284.79
Mazda,Hatchback,Automatic,Petrol,First,2017,2467,157704,146.64,7331.92
Porsche,MPV,Automatic,Hybrid,Second,2007,2367,254034,94.94,4747.16
VW,Hatchback,Automatic,Hybrid,First,2019,1552,106560,246.84,12341.85
Ferrari,Sedan,Automatic,Petrol,First,2009,4444,203888,676.96,33848.11
Porsche,Sedan,Manual,Diesel,Third,2010,1543,295155,80.19,4009.66
Mercedes,MPV,Manual,Petrol,Third,2008,2373,291193,40.73,2036.51
Daihatsu,Hatchback,Automatic,Petrol,Second,2008,1440,234413,56.85,2842.45
Daihatsu,SUV,Automatic,Petrol,Third,2016,1693,108963,61.09,3054.55
Toyota,MPV,Automatic,Diesel,First,2017,1871,150888,72.21,3610.26
Honda,MPV,Automatic,Diesel,First,2010,1143,240060,52.00,2600.21
BMW,SUV,Manual,Petrol,Third,2007,3087,342000,37.09,1854.39
Suzuki,Hatchback,Automatic,Diesel,First,2010,1868,157185,65.97,3298.60
BMW,SUV,Automatic,Petrol,Second,2008,2164,229806,45.91,2295.50
Porsche,Hatchback,Manual,Diesel,Third,2017,2054,121360,553.93,27696.30
BMW,Hatchback,Automatic,Petrol,Second,2024,3201,11859,1018.79,50939.72
Toyota,Hatchback,Manual,Petrol,Third,2016,1743,93240,63.45,3172.40
Toyota,Sedan,Manual,Diesel,Third,2014,2329,114356,58.93,2946.29
Mercedes,Coupe,Automatic,Hybrid,Third,2021,2367,41492,676.54,33826.78
Honda,Hatchback,Manual,Hybrid,First,2021,1013,42576,189.22,9460.93
Suzuki,Coupe,Manual,Hybrid,First,2007,1638,204948,61.55,3077.45
Ferrari,Hatchback,Manual,Hybrid,First,2020,5920,96975,2830.90,141544.88
Daihatsu,Hatchback,Automatic,Diesel,Second,2023,1391,33650,218.05,10902.33
VW,Sedan,Automatic,Petrol,Third,2013,1622,223272,36.93,1846.74
Suzuki,SUV,Manual,Hybrid,First,2024,1316,16552,379.50,18974.92
Toyota,SUV,Manual,Diesel,Second,2019,1540,75396,167.05,8352.71
Toyota,Coupe,Manual,Diesel,First,2012,2124,259649,60.92,3045.99
VW,Hatchback,Automatic,Diesel,Third,2005,2159,271400,47.22,2361.14
